acceptability,sentence,domain
0,Terry touched at the cat.,IN
0,She tried to may leave,IN
1,The moon glows.,IN
1,An old woman lived in the forest.,IN
1,John tries not to meet Mary.,IN
1,The tornadoes that tear through this county every spring are more than just a nuisance.,IN
1,What you heard was an explosion.,IN
1,It is very difficult to get an idea for a book simply from an interview.,IN
0,Paul exhaled on Mary.,IN
1,"The fact that he was sick for days, we talked about.",IN
1,which books about cooking does Henri want to buy?,IN
1,She asked a man who was near the window whether it looked like rain.,IN
1,Beans I don't think you'll be able to convince me Harry has ever tasted in his life.,IN
0,Gomez's photograph of Pugsley of Lucy's,IN
1,Who is Kim eager to recommend?,IN
1,"The more that pictures of him appear in the news, the more likely John is to get arrested.",IN
1,Leona pushed the cart to the market.,IN
1,He is believed to have been at the game.,IN
1,The bell chimed the hour.,IN
0,We spotted that they were running.,IN
1,I admired him as a teacher.,IN
1,I'm sure he speaks to me!,IN
0,Who do you regret saw you?,IN
0,Oliver drove me a lunatic.,IN
1,His offer will be taken advantage of.,IN
1,Louis was sent a book.,IN
1,Who do you think that Bill likes?,IN
1,I handed the ball to Reg.,IN
1,The oil and vinegar separated.,IN
0,Is not Bill sick?,IN
0,It is eager to please John.,IN
1,Mary was visited by Bill.,IN
1,"Ann copied the manuscript, but she didn't finish it.",IN
1,The lions jumped through the hoop.,IN
1,"I lost a Japanese slide rule, and the fact that Peter now has one I regard with suspicion.",IN
1,I've never seen the one man taller than my father.,IN
1,Kim depends.,IN
1,What did she eat?,IN
0,It mattered with a telescope.,IN
1,John can go to the market quickly.,IN
1,For John to love Mary would be doubtful.,IN
0,You shouldn't play with rifles because to is dangerous.,IN
1,Cynthia ate.,IN
1,Did the potion boil over?,IN
1,The tuna was being eaten.,IN
1,$50 won't even purchase a dress at Bloomingdale's.,IN
1,I believe it to be obvious that the problem is not easy.,IN
1,You kicked yourself,IN
1,I asked if you knew the answer.,IN
1,They confined his remarks to the matter under discussion.,IN
0,I went out with a girl who that John showed up pleased.,IN
1,They talked about the scandal for days.,IN
0,You washed myself.,IN
0,The problem's perception is quite thorough.,IN
0,Only the travelers who anybody has ever robbed don't carry machetes.,IN
1,I have as many too many marbles as you.,IN
1,The cat had eaten.,IN
1,Tom ate what Mary offered to him.,IN
1,Some branches broke off of the tree.,IN
1,Which attorney will give the closing argument hasn't been decided.,IN
0,How difficult to study for the exam was it?,IN
1,"When you eat more, you want correspondingly less.",IN
0,Six inches were grown by the boy.,IN
0,Sally believes that herself is brilliant.,IN
0,Half the doctor that Maxwell's father was sat down.,IN
1,The river froze solid.,IN
1,The mouse jumped out.,IN
0,Poseidon appears to own a dragon,IN
1,Jill threw the ball from home plate to third base.,IN
1,Nurse Rooke suspected that Mrs Clay planned to run away with.,IN
1,John eats more.,IN
0,Chris said that himself was sad.,IN
1,Harry got to be as much of a celebrity as his father.,IN
1,John's mother likes him.,IN
1,"I'm worrying, more than thinking.",IN
1,I believed that the sun is out.,IN
1,"So that he could escape, Jason became invisible",IN
1,It was Anne Elliott who loved Captain Wentworth but who rejected his first proposal.,IN
1,John received a book.,IN
1,He saw the man with the stick.,IN
1,Which city and which conference did Bill go to?,IN
0,He walked right the wall.,IN
0,Dogs chase.,IN
1,John bought a book for the student.,IN
0,Calvin ate not his dinner.,IN
0,They are intense of Bill.,IN
1,They praised them as volunteers.,IN
1,I wanted him to leave.,IN
1,"I did, as Bill had thought, go to the store.",IN
1,"They said that Tom was working, and working he is.",IN
1,Who do you think saw you?,IN
1,"After the party, I asked myself why I had faxed invitations to everyone in my office building.",IN
1,Bill saw him.,IN
1,Did the magic work?,IN
1,I admired his honesty.,IN
1,"They can't stand each other, him and her.",IN
1,"That they spoke to the janitor about that robbery yesterday, the cops, is terrible.",IN
0,Kelly buttered the bread with butter.,IN
0,Left Tom the party already?,IN
1,Those monkeys are eating the banana.,IN
1,Dana longs for a sunny day.,IN
1,I am frightened of tigers and fond of clowns without exception.,IN
1,Joseph has forgotten how many matches he has won.,IN
1,The idiot can't even open an umbrella!,IN
1,Herman hammered the metal flat.,IN
1,I consider him immoral.,IN
1,I gave the box to Leah.,IN
1,June covered the baby with a blanket.,IN
1,John convinced Bill to visit Mary.,IN
0,I enjoy him taking a bath.,IN
1,Emma and Harriet were attacked by those bandits.,IN
0,Harry coughed himself.,IN
1,The puppy was kissed.,IN
1,John drove the car.,IN
0,Two drops sanitize anything in your house.,IN
1,It is not true that that it would confuse the guards for Herschel to throw a fit was obvious.,IN
1,It is this hat that it is certain that he was wearing.,IN
1,Agamemnon stopped Jason casting the spell,IN
1,On his finger there sparkled a magnificent diamond.,IN
1,These are the things for which to be thankful.,IN
0,He gets angry if John has to wait.,IN
1,The cat was leaving.,IN
1,The sign warned us against skating on the pond.,IN
1,You may pick any flower.,IN
1,The children will have been being entertained.,IN
1,"It's fine that he paid and apologized, but I don't really care about his gratitude, or the money, or anything.",IN
1,Buffy couldn't do 100 push ups and somebody laughed.,IN
1,"Every philosopher is sometimes wrong, but he usually doesn't admit it.",IN
1,John ate.,IN
1,Brandon has been reading more novels than he has short stories.,IN
0,To go and buying whiskey is not the solution to your problem.,IN
1,The king banished the general to a mountain fortress.,IN
1,It is likely that John will leave.,IN
0,Lilly recounted a story to be remembered because Holly had recounted a story to be.,IN
1,I know I bought the book that you recommended.,IN
1,"The more lobbyists he talks to, the more corrupt every senator seems to become.",IN
1,There were several doctors available.,IN
1,Who did the wealthy young man buy that piano for?,IN
1,Spray the whole wall with the paint.,IN
1,is out since the following is finite.,IN
0,The package carried to New York.,IN
1,John asks in which box he put the book.,IN
1,Never have I stolen from any members of your family.,IN
0,Carrie touched at the cat.,IN
1,Mary sang for anyone who wanted to hear her.,IN
1,Steve pelted Anna with acorns.,IN
0,To whom is she trying to make up now?,IN
1,Carla mopped the floor under the furniture.,IN
1,Julie and Jenny did.,IN
1,Sam made progress.,IN
1,The tiger bled to death.,IN
1,Every man who saw the fly in the food didn't eat dinner.,IN
0,How brave he is tall and!,IN
1,Julie became a fond of Lloyd.,IN
1,Bill dried the cotton clothes.,IN
0,They expected us to should leave him.,IN
1,Alison and David soaked their feet in the kitchen,IN
1,John was bitten by an advertising executive.,IN
1,The kennel in which Mary keeps drugs and Fido sleeps has been stolen.,IN
1,Kelly buttered the bread.,IN
1,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.",IN
1,Joe is taller than Mary is.,IN
1,Toms drives the way that that man does.,IN
0,The man arrived on the train was my brother.,IN
1,No photo of Max and sketch by his students appeared in the magazine.,IN
0,On the table jumped a cat.,IN
1,Any philosopher is sometimes wrong.,IN
0,Where and when did Bill put the book?,IN
0,"Kim wanted to go and Sandy wanted, too.",IN
1,Dana was quite competent.,IN
0,Gilgamesh might can seek Ishtar,IN
1,Did Frank buy something for Jane.,IN
1,Everyone had been worrying himself stiff.,IN
1,the day when I met her was sunny.,IN
1,I wonder who Jim kissed.,IN
1,That's the truth.,IN
1,What the thing cost which I ate almost broke me.,IN
1,Susan kissed the clown's nose.,IN
0,The lions ate at the meat raw.,IN
0,Which celebrity did he mention the fact that he had run into?,IN
0,What happened was they knew his parents.,IN
0,She always wore herself.,IN
1,"Sally might be pregnant, and I believe the claim that Sheila definitely is pregnant.",IN
0,I saw you there and who ate what?,IN
1,The boy who Mary loves hates her.,IN
1,I sent the package all the way around the world.,IN
1,Big bowls of beans are what I like.,IN
1,all the students left.,IN
1,The puppy loved peanut butter cookies.,IN
1,John often kisses Mary.,IN
1,The president appointed Smith as press secretary.,IN
0,"The candidate was dogged by charges of infidelity, or at least trying to.",IN
1,Harry says that Sally dislikes him.,IN
1,Duty made them not miss the weekly meetings.,IN
0,"Because never had Sir Thomas been so offended, even Mr Yates left.",IN
0,The stick touched the fence.,IN
1,My eyes are itching me.,IN
0,"No student, who scored 80 or more in the exam, was ever failed.",IN
0,The king of Rock and Roll is more popular than the one of country music.,IN
0,There arrived three men at the palace.,IN
1,"Us, we'll go together.",IN
0,They kicked himself,IN
1,She buys for Harrods.,IN
1,The twig broke off of the branch.,IN
1,John enjoyed drawing trees for his syntax homework.,IN
1,The person with whom he felt most comfortable left.,IN
0,"Bill seems to be obnoxious, but I don't think that Sam tends.",IN
0,It is Kim whom Sandy relies.,IN
0,Doug removed the tabletop of scratches.,IN
1,What do you think the man who is standing by the door is doing now?,IN
1,Last year I saw this film several times.,IN
0,Fabio asked had if Claus run a marathon.,IN
1,Every cat doesn't like mice.,IN
1,The microphone salesman's 0 irritating patter was relentless.,IN
1,Gilgamesh didn't leave.,IN
1,Fred tore the curtain in roiling it up.,IN
1,Kim alienates cats and beats his dog.,IN
1,"Whenever Bill smokes, Susan hates him far more.",IN
1,I asked did Medea poison Jason.,IN
0,The University's students are intelligent and faculty is committed to freedom.,IN
0,It was in the park last night that the policeman met several young students.,IN
1,whether she left is most unclear.,IN
1,I want to peruse that contract before damaging it while filing it away.,IN
1,John has been captured by the cops and I'm afraid he'll talk.,IN
1,His girlfriend bought this computer for him.,IN
0,"As it rains harder, how much faster a flow that appears in the river?",IN
1,Columbus believed that the earth was round.,IN
1,John is as tall as that man.,IN
0,Sam offered the ball off the shelf.,IN
1,Jessica splashed water at me.,IN
1,The screw which I've got to try and find holds the door to the frame.,IN
0,Heidi investigated to eat the cauliflower.,IN
0,Enough Sally eats caviar.,IN
0,John asked who and where Bill had seen.,IN
1,He kissed her.,IN
1,He might eat deep fried muffins.,IN
1,The child became a man.,IN
1,Copper rods bend easily.,IN
0,I am eating a mango and Gillian has too.,IN
1,That joke never fails to amuse little children.,IN
1,I lifted the books.,IN
1,"We'll do it together, you and I.",IN
1,A man came into the room that no one knew.,IN
1,Stacy left Tucson.,IN
0,John not left the town.,IN
1,I never met that man who somebody tried to kill.,IN
1,She said that in came Aunt Norris.,IN
0,Owners of a pig loves to eat truffles,IN
1,John talked to every woman who came up to him.,IN
1,Jason whispered that the phoenix had escaped,IN
1,Kim jogs on the hill.,IN
1,"If I were a rich man, I'd buy a diamond ring.",IN
1,Becky bought the syntax book.,IN
0,Baseballs toss easily.,IN
1,The computer will calculate the value of the variable.,IN
1,This knife doesn't cut.,IN
1,"My wife, somebody stole her handbag last night.",IN
1,"They said that Tom wouldn't pay up, but pay up he did go to the bank and he did.",IN
1,That Jason arrived infuriated Medea.,IN
1,I asked who did Medea poison.,IN
1,The king banished the general from the army.,IN
1,These are the books that we have gone most thoroughly over.,IN
0,John died to heart disease.,IN
0,Talked with Bill about the exam.,IN
1,I met the critic whose remarks I wanted to object to.,IN
1,Who did he expect to show up who I was acquainted with?,IN
0,Tom told anybody that he wasn't sick.,IN
0,Peter is some disgruntled old pigs in those ditches.,IN
1,Who poisoned who?,IN
1,I would like for John to win.,IN
0,I wonder if on which shelve John will put the book.,IN
1,Maxwell isn't half the doctor that people around here believe that his father was.,IN
0,John expect to must leave.,IN
1,At 4 p.m. I saw John lecturing to everyone who was near him.,IN
1,The stodgy professor left with his teaching assistant.,IN
0,There was him in the garden.,IN
1,The builder of his house visited Peter.,IN
1,I ran an old man down.,IN
1,"John has two sisters, who became lawyers.",IN
1,My binoculars were given to that girl by him.,IN
1,John is ready to please.,IN
1,It would be difficult to please John.,IN
0,"The more he eats, the poorer he knows a woman that gets.",IN
1,It is easy to please John.,IN
1,Kim put the book in the box.,IN
1,And it was this matter on which I consulted with the chairman of the Select Committee.,IN
0,John convinced that Bill has slept.,IN
1,It is tough to please John.,IN
0,Bill is resembled by John.,IN
1,I asked for him to eat the asparagus.,IN
1,Sylvia is slapping Jeff upside the head in martial arts class.,IN
1,A large flag fluttered over the fort.,IN
1,Mary's criticism of him was cruel.,IN
0,Those monkey are eating the banana.,IN
1,I know that she runs.,IN
0,They promised it to rain.,IN
0,The picture of Bill she slept.,IN
0,Peter is pigs,IN
1,The tub filled with water.,IN
1,I have wanted to meet the man who spent so much money planning the assassination of Kennedy for many years.,IN
0,What she did was be very cold.,IN
1,The pig grunts,IN
1,The soldier was given the medal by Phillip.,IN
1,Who is sailing to Ithaca?,IN
1,The big man from NY has often said that he gave peanuts to elephants.,IN
1,I broke the twig off of the branch.,IN
1,My heart is pounding.,IN
1,Were you surprised that he stole the watch?,IN
1,The roses bloomed.,IN
1,It is not true that that Bob was lying was obvious.,IN
1,The pond froze solid.,IN
1,Will the tourists go to the park?,IN
0,The bed was fallen on by the dust.,IN
1,What did John buy?,IN
0,This girl in the red coat will put a picture of Bill it on your desk before tomorrow.,IN
1,"Tom picked, and I washed, and Suzie will prepare, these grapes.",IN
1,Ellen and Helen argued.,IN
0,I saw the physics one.,IN
0,The cook boned the fish of bones.,IN
1,They fed the meat to the lions raw.,IN
1,A girl came in who had worn this coat.,IN
0,Plays and ballets alternate together.,IN
0,He figured out that.,IN
1,I shall go downtown.,IN
1,Who did Jason think Medea had poisoned?,IN
1,Who did you attempt to force Jason to kill?,IN
1,It was as awful a picture as it first seemed.,IN
0,I persuaded there to be a problem.,IN
0,"Danced extremely, Anson frantically at Trade",IN
1,What did Stacy say Becky bought?,IN
1,"Only Churchill remembered giving the Blood, Sweat and Tears speech.",IN
1,The judge saddled the winner with a prize.,IN
1,The curtain which Fred tore in rolling the wallpaper up was the kind gift of my maternal Aunt Priscilla.,IN
0,John was unknown to be the murderer.,IN
0,Odysseus attempted the helmsman to hear the sirens.,IN
1,"`` I am so happy '', thought John.",IN
1,John will have been eating cake.,IN
0,Every reading Shakespeare satisfied me,IN
1,That Bill loves chocolate is likely.,IN
0,Jennifer baked at the potatoes.,IN
0,"Mary claimed that eating cabbage, Holly started.",IN
1,He's bound to should do it,IN
0,The kids were failed by Max as a father.,IN
1,That tall woman chased a cat.,IN
0,How hard to read the book it was!,IN
1,They've got it made.,IN
0,Mary tried John to go abroad.,IN
1,Everyone should be able to defend herself.,IN
1,There is a riot in the park.,IN
0,She speaks too much clearly.,IN
0,Him loves him,IN
1,The noise gave Terry a headache.,IN
0,I have might be flying helicopters.,IN
1,Doug blew it up.,IN
0,John tries to meet not Mary.,IN
0,The committee has all now resigned.,IN
0,The boy whose guardian's we elected employer president betrayed us.,IN
0,"It is not entirely obvious if, Mary listens to the Grateful Dead, she gets depressed.",IN
1,Look after yourself!,IN
1,Mary wrote a letter to him last year.,IN
1,They represented Mary seriously to the dean as a genuine linguist.,IN
0,The room was left angry by Mary.,IN
0,It has rains every day for the last week.,IN
0,Lee likes not Kim.,IN
1,Lora buttered the toast.,IN
0,Everyone hopes him to sleep.,IN
1,I hit the ball.,IN
0,Stephen persuaded there to be a fountain in the park.,IN
0,"Although Bob may not be a nut, many people have claimed and I think so too.",IN
0,The children came their way to the party.,IN
0,Paula spanked her right hand against the naughty child.,IN
1,Some of the diners need menus.,IN
1,His yearbook picture gives Tom the creeps.,IN
1,Carol carved the stone with a chisel.,IN
1,Pat is either asleep or at the office.,IN
1,Juliet says that Romeo lies to his parents a lot.,IN
1,The children were neither in their rooms nor on the porch.,IN
0,He figured out Ann.,IN
1,For whose rights do you expect me to speak up?,IN
0,They are readable of the paper.,IN
1,we need to provide two trees and.,IN
1,That evening John laughed with everybody he talked to.,IN
0,Jake shipped the box at Carson.,IN
1,They can sing.,IN
0,At Mrs. Parker's lodged an old woman.,IN
1,John will enthusiastically have been eating cake.,IN
1,A bear occupies the cave.,IN
1,The stone knocked the cup apart.,IN
0,The heavy meal dozed Gloria.,IN
0,Gwen exchanged the dress to Mary.,IN
1,Carol cut the bread.,IN
1,Some gifts get used a dozen or so times a year.,IN
1,Alison pierced the cloth with a needle.,IN
1,Give the bottle to the baby full.,IN
0,We ate enough the puddings to satisfy us.,IN
0,Monica covered a blanket over the baby.,IN
1,I've never seen a man who is taller than my mother.,IN
1,A man just came in and a woman went out who hate each other like poison and always have.,IN
0,Fruit dropped from the tree from the clouds.,IN
1,It is illegal to park here.,IN
1,Paul had two affairs,IN
1,John runs into the house.,IN
1,"Mary sang a song, but Lee did not.",IN
1,Fanny stopped talking because in came Aunt Norris.,IN
0,How intelligent do you wonder whether I consider John?,IN
1,Jasmine pushed the door open.,IN
1,The ship sank beneath the waves.,IN
1,I saw enough of the fool to be convinced.,IN
0,"Fluffy is sick, which I slapped a boy who wouldn't acknowledge.",IN
0,Fanny stopped talking when in came Aunt Norris.,IN
1,Miriam tutored her brother.,IN
1,"Although Doc might tell it to you, he won't to me.",IN
0,The cloth swatted the fly.,IN
1,We Americans and the British pamper ourselves.,IN
1,The clue that John got was more helpful than the one that Smith got.,IN
0,Anson is incredibly difficult to be pleased.,IN
1,Bill seems to himself to be handsome.,IN
1,John promised Mary that he would leave.,IN
1,"I'm going out, wherever that hurricane might be.",IN
0,"Your desk before, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",IN
1,We sleep five people in each room.,IN
0,They want to wrote to her.,IN
1,I prefer for the girl to put a picture there.,IN
